Brand,Model,Processor,Generation,Operating System,RAM,Storage,Size,Warranty,Color,Star Rating,No. of Ratings,No. of Reviews,Price
SAMSUNG,SAMSUNG Galaxy Book,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Grey,4.5,1975,112,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Blue,4.4,545,325,76190
MSI,MSI Modern,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.3,1998,150,32990
HP,HP,Intel Core i7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,969,285,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Blue,4.3,587,133,34990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,1326,329,61990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.3,1041,230,47990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Metallic Black,4.5,466,333,85690
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1013,219,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,1,Grey,4.7,437,286,84990
HP,HP Omen AMD Ryzen,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,1,40.89,1,Black,4.7,629,169,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Black,4.5,742,346,119990
Acer,Acer Aspire,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Black,4,1314,275,42990
DELL,DELL Inspiron,AMD Ryzen 5,11th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1430,291,35990
HP,HP Backlit Intel Core i,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Blue,4.2,264,340,49990
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.2,314,246,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Silver,4.1,770,166,49690
Lenovo,Lenovo LOQ Intel Core i,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Grey,4.4,1617,309,76190
DELL,DELL Inspiron,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,1402,202,42490
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,897,172,44990
MSI,MSI Modern,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Metallic Black,4.3,1745,215,32990
MSI,MSI Thin,Intel Core i7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Black,4.3,1336,303,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Grey,4.2,1412,232,36990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Grey,4.2,1772,166,47990
ASUS,ASUS Vivobook,Intel Core i5,12th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Blue,4.3,842,238,40990
HP,HP Victus Intel Core i,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.4,641,220,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i5,13th Gen,Windows 11 Operating System,24 GB,512,39.62,1,Blue,4.5,1948,193,85690
HP,HP Omen AMD Ryzen,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Black,4.7,668,295,102990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.3,538,296,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.5,1763,190,119990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,1,Blue,4.3,480,191,36990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.4,1267,162,55990
MSI,MSI Thin,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Metallic Black,4.3,290,128,49990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.5,1301,309,75990
Acer,Acer Aspire,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,384,111,67990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,13th Gen,Windows 11 Operating System,16 GB,1,40.64,2,Silver,4.4,450,176,104990
MSI,MSI Modern,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Grey,4.2,1029,140,32990
MSI,MSI Crosshair,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Metallic Black,4.1,1179,229,140990
MSI,MSI Thin,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Blue,4.3,1306,136,49990
HP,HP Intel Core i,AMD Ryzen 3,10th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.2,1321,272,53990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,2,Black,4.2,752,307,29990
Acer,Acer One Intel Core i,Intel Core i5,13th Gen,64 bit Windows 11 Operating System,8 GB,512,35.56,1,Black,4.2,656,275,28990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.1,1847,123,49690
ASUS,ASUS Vivobook,AMD Ryzen 7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.3,1054,198,36990
Acer,Acer Swift Go,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Black,4.3,348,249,59990
Apple,Apple MacBook AIR Apple M,AMD Ryzen 7,13th Gen,Mac OS Operating System,8 GB,256,34.54,1,Grey,4.7,933,199,84990
SAMSUNG,SAMSUNG Galaxy Book,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Silver,4.5,975,238,61990
Lenovo,Lenovo LOQ Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1820,346,76190
MSI,MSI Modern,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Metallic Black,4.3,1210,157,32990
HP,HP,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,862,273,32490
HP,HP,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,100.58,1,Black,4.3,1735,128,34990
Acer,Acer Aspire,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Black,4.4,1278,339,61990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.3,1491,345,47990
Lenovo,Lenovo LOQ AMD Ryzen,AMD Ryzen 5,11th Gen,Windows 11 Operating System,24 GB,512,39.62,2,Black,4.5,752,242,85690
ASUS,ASUS Vivobook,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Black,4.2,1016,159,47990
Apple,Apple MacBook AIR Apple M,Intel Core i5,12th Gen,Mac OS Operating System,8 GB,256,34.54,2,Black,4.7,647,194,84990
HP,HP Omen AMD Ryzen,AMD Ryzen 5,11th Gen,Windows 11 Operating System,16 GB,1,40.89,1,Blue,4.7,1120,141,102990
Acer,Acer Predator Neo Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Blue,4.5,1044,332,119990
Acer,Acer Aspire,Intel Core i3,12th Gen,64 bit Windows 11 Operating System,16 GB,512,35.56,1,Blue,4,642,142,42990
DELL,DELL Inspiron,Intel Core i5,12th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Metallic Black,4.2,456,307,35990
HP,HP Backlit Intel Core i,AMD Ryzen 7,13th Gen,64 bit Windows 11 Operating System,8 GB,512,39.62,2,Silver,4.2,1288,173,49990
ASUS,ASUS Vivobook,AMD Ryzen 7,13th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.2,1827,276,52990
Lenovo,Lenovo IdeaPad Slim,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,1,Blue,4.1,1141,291,49690
Lenovo,Lenovo LOQ Intel Core i,Intel Celeron Dual,12th Gen,Windows 11 Operating System,16 GB,512,39.62,1,Metallic Black,4.4,1734,259,76190
DELL,DELL Inspiron,Intel Core i7,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,1964,163,42490
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.3,1848,342,44990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,35.56,2,Grey,4.3,1113,101,32990
MSI,MSI Thin,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.3,992,251,47990
Lenovo,Lenovo IdeaPad Slim,Intel Core i7,13th Gen,Windows 11 Operating System,16 GB,512,100.63,1,Blue,4.2,1514,314,36990
ASUS,ASUS Vivobook,Intel Core i5,13th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Silver,4.2,813,165,47990
ASUS,ASUS Vivobook,Intel Core i7,13th Gen,Windows 11 Home Operating System,16 GB,512,39.62,1,Black,4.3,1270,265,40990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Black,4.4,345,130,58990
Lenovo,Lenovo LOQ AMD Ryzen,Intel Core i7,14th Gen,Windows 11 Operating System,24 GB,512,39.62,2,Grey,4.5,734,214,85690
HP,HP Omen AMD Ryzen,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,1,40.89,2,Black,4.7,1680,331,102990
HP,HP Victus Intel Core i,Intel Core i5,12th Gen,Windows 11 Operating System,16 GB,512,39.62,2,Silver,4.3,480,125,65990
Acer,Acer Predator Neo Intel Core i,Intel Core i3,11th Gen,Windows 11 Operating System,16 GB,1,40.64,1,Silver,4.5,1928,294,119990
MSI,MSI Modern,Intel Core i5,12th Gen,Windows 11 Operating System,8 GB,512,35.56,2,Blue,4.3,1444,349,36990
HP,HP Victus Intel Core i,Intel Core i3,12th Gen,Windows 11 Operating System,8 GB,512,39.62,1,Blue,4.4,790,177,55990
